,sentence,start,end
0,"""Hello Miami Dade College! It is so great to be here with all of you",0,68
1,"""And I want to thank everyone for gathering and in particular I want to thank all of the elected officials",486,592
2,Thanks to Congressman Patrick Murphy who I hope is the next senator from Florida,980,1060
3,Thanks to Congresswoman Debbie Wasserman Schultz,1429,1477
4,Thank you to Mayor Phillip Levine of Miami Beach,1856,1904
5,Thanks to Mayor Phillip Stoddard of South Miami,2279,2326
6,Thanks to all the others who were part of the program,2670,2723
7,As we were coming in we heard lots of energy coming from this crowd and I was told as I was coming out theres an overflow but they can hear us in the overflow and were so happy youre here as well! So thanks to the overflow crowd,2936,3164
8,"But what I am most excited about is to be here with one of the worlds most foremost leaders on climate change: Al Gore."" ""About a decade ago Al made a movie called An Inconvenient Truth",3315,3500
9,Now maybe some of you have seen it but if you havent I hope youll watch it tonight,3737,3819
10,"It doesnt have a lot of special effects – but it does have a lot of drama."" ""And heres the main message: climate change is real its urgent and America can take the lead in the world in addressing it",4038,4236
11,Right? We here in America can develop new clean energy solutions,4493,4557
12,We can transform our economy,4927,4955
13,We can rally the world to cut carbon pollution,5322,5368
14,"And above all we can fulfill our moral obligation to protect our planet for our children and our grandchildren."" ""Now let me just say – so so lets remember lets remember whats at stake",5663,5847
15,Im running against a guy who denies science denies climate change claims its a hoax created by the Chinese,6114,6220
16,So this is something that Al Gores been working on for a really long time,6508,6581
17,And I want you to know how far back he goes,6897,6940
18,It was in 1982 when he held the very first hearing on climate change in the House of Representatives with the world-famous climate scientist Jim Hansen,7229,7380
19,And then when Al became a senator he continued to raise the alarm and look for solutions and as vice president he led Americas efforts to negotiate the Kyoto Protocol to cut greenhouse gas emissions,7637,7835
20,"You take all this together those 30 years of leadership led Al Gore to be awarded the Nobel Peace Prize in 2007."" I was very proud because he had been determined and persistent and in the face of a lot of people – in public life in business in elsewhere who were trying to diminish the importance of the science – he never wavered",7972,8302
21,And in the years since the climate challenge has only grown more stark,8480,8550
22,And I will tell you this it is one of the most important issues at stake in this election,8858,8947
23,Look at it this way,9274,9293
24,Our next president will either step up our efforts to address climate change to protect our planet to protect our health and to create good jobs that cannot be outsourced by growing our clean energy economy,9583,9789
25,Or in the alternative we will be dragged backwards and our whole future will be put at risk,10050,10141
26,"""So weve really got to get this right",10481,10518
27,And if you need additional convincing just remember what happened this week,10866,10941
28,Hurricane Matthew killed at least 26 people in our country more than a thousand as far as we know right now in Haiti,11254,11370
29,North Carolina is still dealing with serious flooding and will be at least for the rest of the week if not longer,11636,11749
30,"We all need to support each other as our communities put the pieces back together and begin the long road back from this disaster."" ""Thats why Ive encouraged everyone to give what you can afford to the Florida Disaster Fund or to Team Rubicon the veterans organization working to respond to Hurricane Matthew or to UNICEF helping children and families on the ground in Haiti."" ""Now some will say Weve always had hurricanes",11900,12322
31,Theyve always been destructive,12543,12573
32,And thats true,13015,13029
33,But Hurricane Matthew was likely more destructive because of climate change,13442,13517
34,Right now the ocean is at or near record-high temperatures – and that contributed to the torrential rainfall and the flash flooding that we saw in the Carolinas,13856,14016
35,"Sea levels have already risen about a foot – one foot – in much of the Southeast which means that Matthews storm surge was higher and the flooding was more severe."" ""Plus as you know the impact of climate change goes beyond extreme events like hurricanes",14215,14469
36,Its become a daily reality here in Miami,14739,14779
37,You have streets in Miami Beach and in Shorecrest that are flooding at high tide,15138,15218
38,The ocean is bubbling up through the sewer system,15577,15626
39,"Sometimes people call 311 because they assume a water main must have broken when actually it is the sea rising around them."" ""So if you need proof that climate change is real and that its costly there you go",15905,16112
40,So at this rate at this rate my friends my friends please,16368,16425
41,Lets focus on whats really important in this election and in your future and the future of our country because this is what I want you to hear and understand,16693,16850
42,"At the rate we are going one in eight homes in Florida could be underwater by the end of the century and when kids – like that adorable young boy over there on his dads shoulders – are grandparents we believe thats more than $400 billion worth of property in Florida at risk and nationwide its as much as $882 billion in property at risk."" ""But theres also health consequences",16971,17347
43,Mosquitoes that carry diseases like the Zika virus and ticks that carry Lyme disease are expanding their ranges,17526,17637
