,sentence,start,end
0,Today Donald J,0,14
1,Trump announced his New York State campaign organization including Republican Party leaders in all 27 Congressional District across the state,473,614
2,The committee - comprised of GOP elected leaders Republican county chairmen and other key party officials - represents the most powerful presidential campaign organization in the state,1073,1257
3,Mr,1623,1625
4,"Trump stated ""New York is my home and I am so proud to have been able to assemble such an incredible team",1981,2086
5,I have watched and known these people for so many years,2401,2456
6,They love New York and our country,2821,2855
7,"Together we will Make America Great Again."" U.S",3233,3280
8,"Congressman Chris Collins (R-NY) Honorary Co-chairman of the campaign in New York said""Donald Trump will bring back American jobs stolen by China take on our enemies and help our children and grandchildren achieve the American Dream",3596,3828
9,If we want to deal with the grave issues threatening Americas future New York Republicans must reject the professional politicians,4111,4241
10,"The American people want a Chief Executive in the White House not a Chief Politician."" As Honorary Co-chairman Carl P",4597,4714
11,Paladino the 2010 Republican candidate for governor of New York and a Buffalo developer has led organization of the states Donald J,5056,5187
12,Trump for President campaign,5556,5584
13,"Paladino said ""Im very pleased with the courage and commitment our leadership team has shown for Donald Trump is bringing people to the Republican Party like no other candidate in a generation."" Dutchess County Sheriff Adrian ""Butch"" Anderson a longtime friend of Mr",5901,6167
14,Trump joins Paladino and Collins as Honorary Co-chairman,6479,6535
15,"Sheriff Anderson said ""Ive known Donald Trump for a decade; I know his handshake is a solemn pledge",6912,7011
16,Here in Dutchess County he has done great things always keeping his word and delivering even more than he promises,7324,7438
17,"What he has done for Dutchess I know he can do for America so I proudly stand with him as he works to Make America Great Again."" Mr",7699,7830
18,Trump was honored to be joined by many of the 33 Republican County Chairs at his event in Bethpage on Wednesday night,8076,8193
19,Mr,8579,8581
20,Trump continues to lead in all state polls with significant margins and leading in the delegate count for the Republican National Convention,8990,9130
21,To view the list of chairmen visit   ,9539,9573
