,sentence,start,end
0,Thank you,0,9
1,I am so thrilled to be here in Reno With your help in 34 days we are going to win this state we are going to win the White House and we are going to bring back our jobs,384,552
2,We are going to make America rich again,894,933
3,I am going to end illegal immigration stop the massive inflow of refugees keep jobs from pouring out of our country renegotiate our disastrous trade deals and massively reduce taxes and regulations on our workers and our small businesses,1221,1458
4,"""Hillary Clinton has been there for 30 years and hasnt fixed anything",1754,1823
5,"In fact shes just made things worse – its been 30 years of failure."" The problems we face as a country are immense and it is going to take bold action to turn things around",2097,2269
6,Right now we owe $20 trillion in debt,2543,2580
7,It doubled under President Obama,2967,2999
8,Our infrastructure is like that of a third-world country,3389,3445
9,The homicide rate last year experienced the biggest single-year increase in 45 years,3829,3913
10,Heroin overdoses are surging and meth overdoses in Nevada are up 22 percent,4290,4365
11,Thousands of refugees are being admitted with no way to screen them and are instantly made eligible for welfare and free healthcare – even as our own Veterans die waiting for the medical care they need,4658,4859
12,Our annual trade deficit with the world is nearly $800 billion a year,5133,5202
13,The federal budget is a disaster,5575,5607
14,Our State Department mostly under the watch of Hillary Clinton misplaced or lost $6 billion in taxpayer funds,5959,6068
15,We have the worst so-called recovery since the Great Depression,6409,6472
16,"""On top of it all our taxpaying citizens send troops and foreign aid all over the world even as their own cities cant provide the most basic services."" America needs a turnaround",6782,6960
17,America needs a comeback,7272,7296
18,America needs a change,7679,7701
19,And that change is coming on November 8th,8076,8117
20,We are going to show the whole world that America is back – bigger and better and stronger than ever before,8463,8570
21,First we are going to repeal and replace Obamacare,8900,8950
22,President Bill Clinton has come out and told the truth about Obamacare,9340,9410
23,Two days ago Bill Clinton torched President Obamas signature legislation,9807,9879
24,"Remember Hillary Clinton called Obamacare ""one of the greatest accomplishments of President Obama of the Democratic Party and of our country."" Bill has a different view",10238,10406
25,"Here is what bill said: He just said its a ""crazy system"" and that ""its the craziest thing in the world."" Bill said: ""people out there are busting it sometimes 60 hours a week and wind up with their premiums doubled and their coverage cut in half…the people getting killed in this deal are the small business people and the individuals who make just a bit too much money to get any of these subsidies."" Clinton added that it ""doesnt make any sense"" and that ""the insurance model doesnt work."" There is only one way to stop Obamacare: to vote for Trump",10465,11016
26,The deadline to register to vote by mail is October 8th,11122,11177
27,The deadline to register to vote online or in-person is October 18th,11524,11592
28,And early voting begins on the 22nd,11960,11995
29,With your votes you will also be voting to protect the 2ndamendment rights of every law-abiding gun-owner in Nevada,12362,12477
30,Hillary wants to effectively abolish the 2ndamendment by overturning D.C,12832,12904
31,vs,13313,13315
32,Heller and declaring that guns are not a private right,13720,13774
33,We are also going to conserve your land and natural resources for hunters anglers and all who enjoy the outdoors,14130,14242
34,Fixing our trade deals will be the foundation of our economic revival My economic agenda can be summed up with three very simple words: jobs jobs jobs,14527,14677
35,But to bring back our jobs we must fix our trade deals – and stand up to countries that cheat,14946,15039
